conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22902bf9-cc3f-495b-811a-c441e28e23f6,skill/competence,sector-specific,gestionar información de proyectos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/229b10cf-6f3a-490c-9706-01c107df0562,skill/competence,sector-specific,fomentar el trabajo en equipo entre alumnos,fomentar el trabajo en equipo entre estudiantes,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22a173f5-868c-4d82-87e6-beed500ce070,skill/competence,cross-sector,preparar los formularios de la declaración de impuestos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22a1cbbd-58fd-4fda-99f0-e91b688788d8,skill/competence,sector-specific,dirigir un equipo de servicios de pesca,"liderar un equipo de servicios de pesca
coordinar un equipo de servicios de pesca",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22a40965-a2c7-43c4-853e-e0fd412383bd,knowledge,cross-sector,tratamiento químico de conservación,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22b11b01-ccf8-4745-9738-4fc8526ad073,skill/competence,sector-specific,manejar pistola de aire caliente,"operar pistola de aire caliente
utilizar pistola de aire caliente",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22b7d99d-252f-4572-8e3c-438ea87607eb,skill/competence,transversal,mostrar entusiasmo,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22b8039c-c890-4610-9228-5527e3b98f12,skill/competence,cross-sector,fijar objetivos del control de calidad,"definir objetivos del control de calidad
supervisar objetivos del control de calidad
marcar objetivos del control de calidad
establecer objetivos del control de calidad
describir objetivos del control de calidad",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22c2af9e-ba0d-4cee-abb6-b6dbef006cd5,skill/competence,cross-sector,motivar a los trabajadores,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22c3b4ff-e2e0-4b40-8f3d-17788c0df295,skill/competence,cross-sector,ayudar a elaborar una campaña comercial,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22ca7fdd-f6e0-473a-b797-a8ac955a319a,skill/competence,sector-specific,cumplir las normas de seguridad ferroviaria,"obedecer las normas de seguridad ferroviaria
seguir la normativa de seguridad ferroviaria",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22cbb90f-0bf1-4c30-98c0-7c9749b4e08d,skill/competence,sector-specific,analizar textos teatrales,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22d363fa-45c0-46fd-a68d-e90182ae9791,skill/competence,sector-specific,evaluar las medidas médicas psicológicas,"analizar las medidas médicas psicológicas
valorar las medidas médicas psicológicas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22d69f7d-cbbf-4098-a5a8-a1b2f73cafb0,skill/competence,cross-sector,inspeccionar tendidos eléctricos aéreos,"verificar tendidos eléctricos aéreos
inspeccionar tendidos eléctricos
controlar tendidos eléctricos aéreos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22e08173-7321-49b6-b229-75bff9d9d5ea,skill/competence,occupation-specific,controlar hervidor de fuego directo,gestionar hervidor de fuego directo,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22f9d9a9-404b-4de7-8467-5ae8ff4b8676,skill/competence,occupation-specific,vigilar las ayudas de navegación marítima,"comprobar las ayudas de navegación marítima
revisar las ayudas de navegación marítima",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22fedbdc-8103-4ade-9c83-f0f861c8b900,skill/competence,sector-specific,llevar el inventario forestal,"asentar datos sobre cultivos forestales
registrar datos sobre cultivos forestales",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22ff5433-05f7-4ff2-b3ba-7e36f421c8cf,skill/competence,occupation-specific,almacenar copos de jabón,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23033c54-cc98-47dc-b972-4a8d1646754d,skill/competence,sector-specific,inspeccionar la fabricación de material rodante,"supervisar la producción de material rodante
controlar la fabricación de material rodante",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23072dbb-e93b-48ab-8756-c64f74aaab26,skill/competence,cross-sector,aplicar la legislación forestal,"hacer valer la legislación forestal
ejecutar normas forestales",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2313b15d-a9a7-4830-9bcc-fd7df79d842b,skill/competence,cross-sector,hacer cumplir las políticas financieras,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/231dac27-5a24-41a5-b668-e7b482bad7c4,skill/competence,occupation-specific,revolver hierbas en cubas,"mezclar hierbas en tinas
mezclar hierbas en barricas
mezclar hierbas en tanques
mezclar hierbas en cubas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23236dce-adc6-47bc-91e2-6701a93ece58,skill/competence,sector-specific,probar sistemas microelectromecánicos,"verificar el buen funcionamiento de sistemas microelectromecánicos
controlar el buen funcionamiento de sistemas microelectromecánicos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/232cde64-186f-4fbe-b2ae-4a68aad70a67,skill/competence,cross-sector,organizar cables,"etiquetar cables
identificar cables
ordenar cables",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/232f854a-f5b9-4d8a-8499-23f59852273c,skill/competence,sector-specific,coordinar a voluntarios,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2336b108-a59b-4ff0-84c4-d838b4d297bd,knowledge,sector-specific,productos de la madera,"características de los productos de la madera
tipos de productos de la madera
variedades de productos de la madera",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23370aae-b3fa-4724-9b3f-6437747b5df8,knowledge,sector-specific,puesto de señalización,cabina de señañización,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/233be639-bdb5-4099-ab40-96d537d6c1f3,skill/competence,cross-sector,garantizar el cumplimiento de las normas de seguridad,"verificar la conformidad con las normas de seguridad
velar por el respeto de las normas de seguridad
asegurar el cumplimiento de las normas de seguridad",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234250a1-7e93-49b2-b17c-c93d635bb231,skill/competence,occupation-specific,ocuparse de máquinas para fabricar mallas metálicas,"manejar máquinas para tejer mallas metálicas
utilizar máquinas para fabricar mallas metálicas
manipular máquinas para fabricar productos de alambre
operar máquinas para fabricar mallas de alambre",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2342a29c-6965-46dc-bdde-ec0e9d330e6f,skill/competence,occupation-specific,inspeccionar al personal,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234415ed-fa53-496a-99ee-2b10d155cdbc,skill/competence,occupation-specific,diseñar sistemas de amarre de jaulas de acuicultura,"inventar sistemas de amarre de jaulas de acuicultura
crear sistemas de amarre de jaulas de acuicultura
planificar sistemas de amarre de jaulas de acuicultura",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2344fb75-9deb-4e6e-b485-3e30df082920,skill/competence,sector-specific,diseñar guiones gráficos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb,skill/competence,transversal,utilizar software de presentación,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234b7707-d762-4f1c-8b42-1716694d3616,skill/competence,cross-sector,reemplazar palés llenos,"reemplazar tarimas para carga llenas
reemplazar paletas llenas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234d1c8f-c921-483e-9a6e-4fbfc14946dc,skill/competence,cross-sector,gestionar la financiación pública,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23531571-0de4-4644-b0d3-092b2f1b8678,skill/competence,sector-specific,bañar a los perros,"lavar a los perros
limpiar a los perros
asear a los perros",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2357e4f8-4b42-4969-bd17-cfea963956c0,skill/competence,cross-sector,realizar operaciones militares,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,knowledge,transversal,montenegrino,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/235a6894-16ad-42f4-a16a-d0da28e7448c,skill/competence,cross-sector,realizar investigación en genética médica,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/235b15d9-5ccd-4406-8993-f6dd0de2c4c9,skill/competence,sector-specific,asesorar a los agricultores,"aconsejar a los agricultores
brindar información a los agricultores
informar a los agricultores",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2362e36f-04e1-44be-b278-ba18ede03d28,knowledge,sector-specific,cuidado de bebés,"puericultura
cuidado de niños",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/236526e2-d5a8-436b-91d1-47e5d431e7ea,skill/competence,transversal,aplicar normas de calidad,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/236c446a-f4ff-4893-850a-0d93250c551f,skill/competence,sector-specific,determinar la tensión de la correa de las máquinas de medición,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/236e368e-28ff-469e-b3c0-e1d364f5da71,skill/competence,occupation-specific,investigar problemas del sistema inmunológico,"estudiar problemas del sistema inmunológico
investigar fallas del sistema inmune
estudiar problemas del sistema inmune
investigar fallas del sistema inmunológico
investigar problemas del sistema inmune",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/237420c1-1882-4ce0-aa48-41a8e61977e5,skill/competence,transversal,comprender el vietnamita hablado,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23759dba-1abd-4865-b0f9-608012348870,knowledge,sector-specific,operaciones de plantas de energía geotérmica,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/237db40b-4600-47c0-837f-4a2c4f3014ab,knowledge,cross-sector,principios de la gestión de proyectos,"principios de la administración de proyectos
elementos y fases de la gestión de proyectos
elementos y fases de la administración de proyectos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,skill/competence,transversal,detectar las carencias en competencias digitales,"reconocer las carencias en competencias digitales
detectar las deficiencias en competencias digitales
detectar las lagunas en competencias digitales",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23845010-4c1e-41d3-94a3-940bcab65bce,skill/competence,sector-specific,supervisar la conservación de la naturaleza,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2384ce67-127d-467c-8ac3-cdabd3629936,skill/competence,sector-specific,instalar máquinas para la fabricación de alimentos,"activar máquinas para la producción de alimentos
instalar máquinas para la elaboración de alimentos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23900e3d-06fa-424c-a5dc-c0ea42edde1e,knowledge,sector-specific,Oracle Warehouse Builder,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2391008a-88f9-486c-90f2-8cbc1597964f,skill/competence,sector-specific,supervisar los horarios de los trenes,"comprobar los horarios de los trenes
revisar los horarios de los trenes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2399952b-9991-4c7c-83c7-ea984fa78830,skill/competence,occupation-specific,grabar el diseño de circuito en obleas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2399e65b-cf2b-4f5b-9002-607e790fcf2a,skill/competence,cross-sector,seleccionar métodos de control de riesgos,determinar métodos de control de riesgos,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23a3d985-7945-465f-bb32-7af25cd065df,skill/competence,occupation-specific,encontrar huellas dactilares,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,skill/competence,cross-sector,realizar el seguimiento de los avances en el ámbito de especialidad,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23b355ee-94db-4831-b16d-935adc5de1cd,skill/competence,sector-specific,preparar carne para usar en un plato,"preparar carne para platos
elaborar carne para usar en un plato
procesar carne para platos
procesar carne para usar en un plato",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23b45aa6-a479-486d-9e6f-062cbab7c68a,knowledge,sector-specific,técnicas de interconexión,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23b6c9ee-4f00-458f-8aaa-0c4ff7eac913,skill/competence,cross-sector,asesorar a los pacientes sobre el calzado,informar a los pacientes sobre el calzado,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23b8dced-62a9-41f4-8b41-692e2d8e6d52,skill/competence,sector-specific,trabajar con materiales calientes en condiciones de seguridad,"manipular materiales calientes con precaución
manipular materiales calientes en condiciones de seguridad
manejar con seguridad materiales de gran calor",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23b97a3e-dfde-4627-9d97-114a9f3e4cd0,skill/competence,cross-sector,negociar en asuntos jurídicos,negociar en casos jurídicos,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23bfab2e-bf4d-462b-bcac-0c46733a1d4b,skill/competence,sector-specific,ocuparse del elevador de descarga,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23c759df-9860-41d8-80be-d00e0e6ad613,skill/competence,cross-sector,utilizar disolventes,"emplear diluyentes
utilizar solventes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23cb29ec-5738-4966-8453-09952ed8c1fc,skill/competence,occupation-specific,desarrollar técnicas de biorremediación,"desarrollar técnicas de tratamiento biologico de la contaminación
desarrollar técnicas de biorreparación
elaborar técnicas de biorremediación",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23cf0f69-eb33-496c-8926-6f18dd1a42f9,skill/competence,occupation-specific,sujetar camisas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23d124d7-d9a7-421f-ab7a-fb077c430956,skill/competence,sector-specific,mantener machos de fundición,"limpiar machos de fundición
reparar machos de fundición
mantener noyos
mantener núcleos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23db1cab-e565-4a90-89f8-3a8685a20029,skill/competence,sector-specific,mantener el estado físico del almacén,"conservar el estado físico del almacén
dejar el estado físico del almacén",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23dc8bb2-1091-461e-9095-a048b7ffa009,knowledge,sector-specific,normativa de gestión medioambiental en los aeropuertos,"legislación de gestión medioambiental en los aeropuertos
leyes de gestión medioambiental en los aeropuertos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23ded2ec-4ef2-4f75-b8bb-753408af1ee3,skill/competence,occupation-specific,reparar termosoldadoras,"componer herramientas para soldar por calor
arreglar termosoldadoras",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23df3447-f59e-45a4-86da-78e38d07c808,knowledge,cross-sector,industria de la música y el vídeo,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24016006-c963-4135-a2c5-b1f7740782e2,skill/competence,cross-sector,llevar un registro de la deuda del cliente,"hacer un registro de la deuda del cliente
redactar un registro de la deuda del cliente",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2409b33a-5776-4b13-bfb6-2c8485248b2a,skill/competence,sector-specific,diseñar bocetos de vestuario,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2416dc09-6384-409e-8b1d-80bb7a2e7369,skill/competence,cross-sector,manipular productos químicos,"manejar productos químicos
trabajar con productos químicos
administrar productos químicos
manipular sustancias químicas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/241c5dc8-ff07-4248-b922-de1aa591e4f4,skill/competence,cross-sector,proporcionar entretenimiento,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/241f559e-d255-4e93-b448-19ae20406dea,skill/competence,sector-specific,mantener equipos agrícolas,"reparar equipos agrícolas
realizar tareas de mantenimiento de equipos agrícolas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24229e89-9e1d-4c1a-ae23-c64777b152ce,skill/competence,sector-specific,consultar con el director de producción,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2427878e-33c9-4a70-9016-4630484a41ff,skill/competence,sector-specific,vender capullos de gusanos de seda,"poner a la venta capullos de gusanos de seda
comercializar capullos de gusanos de seda",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24301020-af48-4532-a1a6-e58567789436,skill/competence,sector-specific,crear una obra de arte,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24310a7b-5db1-4917-a705-4835630227ca,skill/competence,cross-sector,elaborar informes de incidentes,"preparar informes de incidentes
completar informes de incidentes
preparar informes de accidentes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2435cec5-38ed-4ec2-8cbe-57381ffcf353,skill/competence,sector-specific,ayudar a los pacientes con la rehabilitación,"apoyar a los pacientes con la rehabilitación
ayudar a los pacientes con el tratamiento de rehabilitación
asistir a los pacientes con la rehabilitación",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/243a6931-24ce-45fa-831b-c11d4cd9f165,skill/competence,sector-specific,posar ante una cámara,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2441d964-bdae-460e-acd0-334ce780a683,skill/competence,occupation-specific,realizar pruebas neuropsicológicas,"llevar a cabo pruebas neuropsicológicas
hacer pruebas neuropsicológicas
realizar exámenes neuropsicológicos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/244472a5-8a2f-4f7f-b4c6-98e672fa3dbe,skill/competence,sector-specific,operar técnicas tradicionales para medir la profundidad del agua,"implementar técnicas tradicionales para medir la profundidad del agua
trabajar con técnicas tradicionales para medir la profundidad del agua",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/244695ff-d939-4972-a695-d404782e8de1,skill/competence,sector-specific,grabar diseños en piezas de metal,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2450b273-bc3f-418f-862b-27c2309f4c54,skill/competence,occupation-specific,trabajar en equipos de actividades físicas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,knowledge,sector-specific,modelos de arquitectura de software,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24513b22-fed9-4f28-9c37-8b4d198b42b6,skill/competence,occupation-specific,identificar anomalías citológicas,reconocer anomalías citológicas,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24530d21-e744-427d-98df-48164f2bfe1c,skill/competence,cross-sector,empaquetar el calzado y artículos de piel y cuero cuero,"empaquetar el calzado y artículos de marroquinería
embalar el calzado y artículos de piel y cuero",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2454c50c-0bb0-43c2-a47f-0f3011560b59,skill/competence,occupation-specific,posar para una creación artística,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24554d47-70d2-4153-bb27-84e338e76792,knowledge,sector-specific,proyectos culturales,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/245cee67-a830-4b8b-ad71-c990a156a774,skill/competence,occupation-specific,ofrecer servicios de acompañamiento,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/245dc946-2c07-419f-a387-6a215305f8c1,knowledge,occupation-specific,prácticas de asesoramiento en materia de sucesión y patrimonio,prácticas de asesoramiento sucesorio y patrimonial,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24603607-640c-41a9-93a1-d2420399d55c,knowledge,occupation-specific,procesos de recuperación de ácido sulfúrico,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/246500df-dab3-43b5-bb92-31a0c89ba8e8,skill/competence,sector-specific,utilizar filtros para eliminar el agua del almidón,emplear filtros para extraer el agua del almidón,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2465763d-2bc8-4d76-8705-4755a2a120ce,knowledge,sector-specific,enfermedades transmitidas por alimentos,"enfermedad de origen alimentario
intoxicación por alimentos
intoxicación por comida
enfermedades transmitidas por la comida
enfermedad de transmisión alimentaria",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,knowledge,transversal,eslovaco,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/246c0425-b9f8-44db-b989-4f4385732413,skill/competence,sector-specific,transmitir información especializada relativa a la veterinaria,"difundir información veterinaria especializada
difundir información especializada relativa a la veterinaria
ofrecer información especializada relativa a la veterinaria
distribuir información especializada relativa a la veterinaria
transmitir información veterinaria especializada",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2472a8c9-06f3-42f0-9c02-93e9ec00c507,skill/competence,occupation-specific,supervisar el efecto de los medicamentos,"supervisar el efecto de las medicinas
analizar el efecto de los medicamentos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2474e095-309f-4283-b880-6a3a9aec4d34,skill/competence,sector-specific,determinar el impacto de la explotación forestal en la flora y fauna silvestres,"estudiar el impacto de la explotación forestal en la flora y fauna silvestres
analizar el impacto de la explotación forestal en la flora y fauna silvestres
evaluar el impacto de la explotación forestal en la flora y fauna silvestres",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2475cd27-8d6c-4318-a364-21395b23acba,skill/competence,cross-sector,ponerse en el lugar del usuario de la asistencia sanitaria,ponerse en el lugar del paciente,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24783286-361a-44db-b0f1-aaabe35aef5d,skill/competence,sector-specific,gestionar la producción vitícola,"gestionar la producción de vino
verificar volúmenes de producción vitivinícola
realizar labores de vitivinicultura",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2479ac51-f43f-42d1-a912-ff000b351439,skill/competence,occupation-specific,coordinar investigaciones forestales,"organizar investigaciones forestales
gestionar investigaciones forestales",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/247b9f2d-e2f6-4c12-87f7-8b6e4f9c4420,skill/competence,occupation-specific,mantener el campo de juego,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24814e7a-70cd-47e5-98b2-d44b46be92d2,skill/competence,sector-specific,realizar informes de las transacciones,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679,skill/competence,sector-specific,definir la estrategia tecnológica,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/248951cc-3b10-447f-a4b2-0037e6e7a9ab,skill/competence,sector-specific,atender a los pacientes con necesidades especiales,atender a los usuarios con necesidades especiales,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/248f2b8d-88e5-44a2-baa0-abf46b8311b9,knowledge,sector-specific,transición profesional en una carrera artística,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2496dace-8fc6-4100-8f98-d76fec037735,skill/competence,occupation-specific,formar capas continuas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24a776a7-73f2-48a0-9b3e-93b8c78997e4,skill/competence,sector-specific,preparar adornos florales,"seleccionar adornos florales
colocar adornos florales",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24ae68dc-59c5-4156-b25b-3070bfdaa79e,skill/competence,occupation-specific,aplicar prácticas de trabajo en el sector veterinario sostenibles desde el punto de vista medioambiental,"trabajar en el sector veterinario aplicando prácticas sostenibles desde el punto de vista medioambiental
trabajar aplicando prácticas sostenibles desde el punto de vista medioambiental en el sector veterinario
realizar trabajo en el sector veterinario aplicando prácticas sostenibles desde el punto de vista medioambiental
cumplir prácticas de trabajo en el sector veterinario sostenibles desde el punto de vista medioambiental",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24bd5079-e4f3-4bff-8ed7-7540080ce7ec,knowledge,cross-sector,manicura cosmética,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24bfe7ed-de27-462f-a987-ba99bb377c6c,skill/competence,sector-specific,reparar defectos de machos de fundición,"corregir fallos en machos de fundición
reparar defectos en noyos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,knowledge,sector-specific,marcos de software,entornos de software,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24c39caf-6f4d-4fa1-bd54-2eb917c0dfde,skill/competence,cross-sector,adaptar bocetos,"modificar diseños
modificar bocetos
personalizar diseño",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24c3facd-5306-4fc4-b245-1883d2fdd544,skill/competence,sector-specific,mantener aparatos de medición,"limpiar aparatos de medición
guardar aparatos de medición
almacenar aparatos de medición",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24c4beb4-429c-4cd1-b0bd-c04ba4c82e13,skill/competence,occupation-specific,preparar pedidos de comida y bebida,"preparar los pedidos de comida y bebida
procesar pedidos de comida y bebida
organizar pedidos de comida y bebida
elaborar pedidos de comida y bebida",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24d3dc49-4238-490a-9802-96b146e271fe,skill/competence,occupation-specific,enviar una ambulancia,"despachar un vehículo de emergencia
enviar un vehículo de emergencia",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24e09e11-49f4-4e65-86a9-d8179eb6f4ee,skill/competence,sector-specific,transportar muestras de sangre,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24e3d6ad-3357-4c6e-af8d-909f0e22f1bf,skill/competence,occupation-specific,tratar la caries dental,tratar la caries,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24e4b3c9-286f-423f-ae43-54c9b8d92c5e,knowledge,sector-specific,Derecho internacional de los derechos humanos,"legislación internacional de derechos humanos
Derecho internacional en materia de derechos humanos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24e67151-ff7e-43e2-99c0-424a758278a4,skill/competence,cross-sector,colaborar con los auditores,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24ec34dc-62e9-47db-a075-f4d7f3691335,knowledge,sector-specific,entrenamiento de potros,"principios y técnicas de entrenamiento de potros
entrenamiento de caballos jóvenes
principios y técnicas para entrenar a caballos jóvenes
principios y técnicas de entrenamiento de caballos jóvenes
principios y técnicas para entrenar a potros",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24f49659-e1d4-4935-aeb7-0a24b197d1e1,skill/competence,sector-specific,controlar maquinaria pesada para explotaciones a cielo abierto,"revisar maquinaria pesada para explotaciones a cielo abierto
inspeccionar maquinaria pesada para explotaciones a cielo abierto
controlar maquinaria pesada para minería a cielo abierto",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24f4993f-9d86-42d1-8671-b6ec8b728956,skill/competence,occupation-specific,utilizar códigos para comunicarse con los conductores de taxis,"usar códigos para comunicarse con los conductores de taxis
emplear códigos para comunicarse con los conductores de taxis",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24f57882-6f11-4699-b7cd-62faa1fdd871,skill/competence,cross-sector,utilizar herramientas para fabricar relojes,"manipular herramientas para fabricar relojes
emplear herramientas para fabricar relojes
manejar herramientas para fabricar relojes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24f980ba-b44f-4739-b563-205104c3190d,skill/competence,sector-specific,proporcionar asistencia básica a los pacientes,"ofrecer asistencia básica a los pacientes
proporcionar a los pacientes apoyo en aspectos básicos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24febd8d-bb08-4be7-a99a-3024f9655ba0,skill/competence,sector-specific,comerciar con joyas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/24ff9b31-a497-4817-9e9b-c0ff3b3fa0ef,skill/competence,occupation-specific,montar un equipo de retransmisión portátil,montar un equipo de retransmisión móvil,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/250f357f-d667-4e54-97e4-894948e2d062,skill/competence,sector-specific,preparar los cascos de los caballos,"recortar los cascos de los caballos
cortar los cascos de los caballos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/251d8cda-1dc3-4a03-bb15-43cabec7d3b5,skill/competence,sector-specific,mantener las estructuras móviles de un escenario,,
